"8";"timmins, ontario, canada";NULL
"9";"germantown, tennessee, usa";NULL
"12";"fort bragg, california, usa";NULL
"14";"mediapolis, iowa, usa";NULL
"16";"albuquerque, new mexico, usa";NULL
"17";"chesapeake, virginia, usa";NULL
"19";"weston, ,";"14"
"22";"erfurt, thueringen, germany";NULL
"26";"bellevue, washington, usa";NULL
"32";"portland, oregon, usa";NULL
"39";"cary, north carolina, usa";NULL
"42";"appleton, wisconsin, usa";"17"
"44";"black mountain, north carolina, usa";"51"
"51";"renton, washington, usa";"34"
"53";"tacoma, washington, usa";NULL
"56";"cheyenne, wyoming, usa";"24"
"64";"lyon, rhone, france";"32"
"67";"framingham, massachusetts, usa";"43"
"69";"vancouver, british columbia, canada";NULL
"70";"rochester, new york, usa";"44"
"73";"wentzville, missouri, usa";NULL
"75";"long beach, california, usa";"37"
"78";"oakland, california, usa";"18"
"81";"santa cruz, california, usa";NULL
"82";"del mar, california, usa";NULL
"83";"eugene, oregon, usa";NULL
"85";"london, england, united kingdom";"41"
"86";"los angeles, california, usa";NULL
"87";"richardson, texas, usa";NULL
"88";"fayetteville, georgia, usa";NULL
"91";"toronto/newmarket, ,";NULL
"92";"castellar del valles, barcelona, spain";"20"
"97";"mechanicsburg, pennsylvania, usa";NULL
"99";"franktown, colorado, usa";"42"
"102";"barcelona, n/a, spain";NULL
"107";"lethbridge, alberta, canada";NULL
"109";"muncie, indiana, usa";"20"
"110";"peoira, illinois, usa";NULL
"114";"ligonier, pennsylvania, usa";"57"
"125";"lansing, michigan, usa";"49"
"129";"bloomington, minnesota, usa";"47"
"133";"jacksonville, florida, usa";"45"
"141";"darien, new york, usa";NULL
"162";"newark, delaware, usa";NULL
"165";"olympia, washington, usa";"62"
"169";"arlington, virginia, usa";NULL
"176";"london, london, united kingdom";"34"
"178";"rexford, new york, usa";"28"
"183";"porto, porto, portugal";"27"
"185";"baton rouge, louisiana, usa";"17"
"190";"wezembeek-oppem, brussels, belgium";"33"
"202";"ottawa, ontario, canada";"28"
"212";"manila, n/a, philippines";"21"
"215";"port alberni, british columbia, canada";"20"
"217";"spencer, massachusetts, usa";NULL
"224";"strafford, missouri, usa";NULL
"226";"new york, new york, usa";NULL
"228";"ann arbor, michigan, usa";"41"
"230";"ny, new york, usa";NULL
"232";"mumbai, maharashtra, india";"16"
"242";"neuffen, baden-wuerttemberg, germany";"37"
"243";"arden hills, minnesota, usa";NULL
"244";"college station, texas, usa";NULL
"247";"zografou, athens, greece";"23"
"254";"minneapolis, minnesota, usa";"24"
"256";"boston, massachusetts, usa";NULL
"257";"quit, quit, quit";NULL
"272";"walla walla, washington, usa";"20"
"273";"snohomish, washington, usa";NULL
"278";"chicago, illinois, usa";"21"
"280";"yakima, washington, usa";NULL
"289";"tampa, florida, usa";"15"
"291";"ft. collins, colorado, usa";NULL
"300";"newport news, virginia, usa";NULL
"302";"capitola, california, usa";"53"
"310";"barcelona, n/a, spain";"26"
"313";"rutherford, new jersey, usa";NULL
"323";"seattle, washington, usa";"23"
"326";"parkville, missouri, usa";NULL
"332";"lake oswego, oregon, usa";"59"
"334";"jyväskylä, n/a, finland";"27"
"337";"málaga, n/a, spain";"17"
"339";"tampere, pirkanmaa, finland";"20"
"345";"columbia, tennessee, usa";"27"
"356";"leesburg, virginia, usa";NULL
"361";"premià de dalt, barcelona, spain";"25"
"362";"thunder bay, ontario, canada";"63"
"367";"culver city, california, usa";"45"
"372";"bamberg, bayern, germany";"22"
"376";"fishers, indiana, usa";"35"
"383";"carmichael, california, usa";NULL
"387";"charity, missouri, usa";"17"
"388";"nashville, tennessee, usa";"35"
"392";"barcelona, catalunya, spain";"44"
"393";"brighton, east sussex, united kingdom";"24"
"408";"mountain view, california, usa";"17"
"413";"naperville, illinois, usa";"17"
"424";"portland, oregon, usa";"29"
"430";"silver spring, maryland, usa";NULL
"431";"ridgway, pennsylvania, usa";"40"
"432";"kansas city, missouri, usa";NULL
"433";"smock, pennsylvania, usa";"48"
"440";"brookfield, wisconsin, usa";"16"
"441";"spokane, washington, usa";NULL
"444";"sweet home, oregon, usa";"40"
"446";"chevy chase, dc, usa";NULL
"447";"medford, new jersey, usa";NULL
"453";"charleston, west virginia, usa";NULL
"460";"roma, italy, italy";NULL
"463";"rouse hill, new south wales, australia";"20"
"472";"livingston, new jersey, usa";NULL
"475";"vancouver, british columbia, canada";"34"
"476";"rome, new york, usa";NULL
"479";"iowa city, iowa, usa";NULL
"486";"portland, oregon, usa";"31"
"487";"houston, texas, usa";NULL
