0195153448;[("'mythology'", 1), ("'non-fiction'", 0.5), ("'classics'", 0.47), ("'history'", 0.41), ("'reference'", 0.24)]
0002005018;[("'fiction'", 1), ("'canada'", 0.93), ("'historical-fiction'", 0.67), ("'historical'", 0.15), ("'canadian-literature'", 0.13)]
0060973129;[("'history'", 1), ("'military-history'", 0.52), ("'world-war-ii'", 0.48), ("'non-fiction'", 0.36), ("'war'", 0.28)]
0374157065;[("'non-fiction'", 1), ("'science'", 0.85), ("'history'", 0.68), ("'medical'", 0.28), ("'medicine'", 0.17)]
0393045218;[("'history'", 1), ("'non-fiction'", 0.64), ("'archaeology'", 0.58), ("'china'", 0.31), ("'anthropology'", 0.28)]
0399135782;[("'fiction'", 1), ("'historical-fiction'", 0.59), ("'china'", 0.39), ("'asia'", 0.16), ("'contemporary'", 0.13)]
0425176428;[("'non-fiction'", 1), ("'alternate-history'", 1)]
0671870432;[("'fiction'", 1), ("'mystery'", 0.75), ("'legal-thriller'", 0.47), ("'thriller'", 0.28), ("'mystery-thriller'", 0.26)]
0679425608;[("'history'", 1), ("'non-fiction'", 0.98), ("'pirates'", 0.47), ("'historical'", 0.13)]
074322678X;[("'short-stories'", 1), ("'fiction'", 0.79), ("'american'", 0.11), ("'literature'", 0.11)]
0771074670;[("'fiction'", 1), ("'canada'", 1), ("'canadian-literature'", 0.33)]
080652121X;[("'history'", 1), ("'holocaust'", 0.86), ("'non-fiction'", 0.43), ("'politics'", 0.43)]
0887841740;[("'short-stories'", 1), ("'fiction'", 1), ("'canada'", 0.19), ("'literature'", 0.16), ("'humor'", 0.09)]
1552041778;[]
1558746218;[("'non-fiction'", 1), ("'inspirational'", 0.96), ("'self-help'", 0.6), ("'short-stories'", 0.3)]
1567407781;[("'mystery'", 1), ("'fiction'", 1)]
1575663937;[("'non-fiction'", 1), ("'history'", 1)]
1881320189;[]
0440234743;[("'fiction'", 1), ("'mystery'", 0.64), ("'thriller'", 0.46), ("'legal-thriller'", 0.37)]
0452264464;[("'fiction'", 1), ("'classics'", 0.8), ("'historical-fiction'", 0.49), ("'literature'", 0.19), ("'african-american'", 0.16)]
0609804618;[("'humor'", 1), ("'fiction'", 0.34), ("'comedy'", 0.33)]
1841721522;[("'cookbooks'", 1), ("'food'", 0.67), ("'vegetarian'", 0.67), ("'vegan'", 0.33)]
1879384493;[]
0061076031;[("'fiction'", 1), ("'childrens'", 1)]
0439095026;[]
0689821166;[("'historical-fiction'", 1), ("'survival'", 1), ("'adventure'", 0.67)]
0971880107;[("'fiction'", 1), ("'novels'", 0.18), ("'adult-fiction'", 0.18), ("'fantasy'", 0.12), ("'outdoors'", 0.12)]
0345402871;[("'fiction'", 1), ("'thriller'", 0.83), ("'mystery'", 0.33), ("'science-fiction'", 0.21), ("'suspense'", 0.2)]
0345417623;[("'fiction'", 0.98), ("'science-fiction'", 0.96), ("'thriller'", 0.41), ("'time-travel'", 0.38), ("'historical-fiction'", 0.27)]
0684823802;[("'science-fiction'", 0.93), ("'christian-fiction'", 0.78), ("'fiction'", 0.6), ("'fantasy'", 0.35), ("'christianity'", 0.33)]
0375759778;[("'fiction'", 1), ("'travel'", 0.29), ("'hungary'", 0.29), ("'historical-fiction'", 0.23), ("'literature'", 0.21)]
0425163091;[("'fiction'", 1)]
3404921038;[("'canada'", 1), ("'fiction'", 1), ("'canadian-literature'", 0.38)]
3442353866;[]
3442410665;[("'german-literature'", 1), ("'fiction'", 0.8), ("'historical'", 0.6)]
3442446937;[("'mystery'", 0.96), ("'fiction'", 0.96), ("'thriller'", 0.51), ("'suspense'", 0.3), ("'crime'", 0.26)]
0375406328;[("'fiction'", 1), ("'religion'", 0.46), ("'spirituality'", 0.31), ("'contemporary'", 0.14), ("'literature'", 0.12)]
0446310786;[("'classics'", 1), ("'fiction'", 0.83), ("'historical-fiction'", 0.23), ("'school'", 0.15), ("'literature'", 0.13)]
0449005615;[("'non-fiction'", 1), ("'history'", 0.59), ("'biography'", 0.44), ("'sports'", 0.29), ("'animals'", 0.24)]
0060168013;[("'fiction'", 1), ("'contemporary'", 0.21), ("'novels'", 0.13), ("'adult-fiction'", 0.12), ("'literary-fiction'", 0.12)]
038078243X;[("'mystery'", 1), ("'cozy-mystery'", 0.75), ("'fiction'", 0.27)]
055321215X;[("'classics'", 1), ("'fiction'", 0.53), ("'romance'", 0.42), ("'historical-fiction'", 0.14), ("'literature'", 0.11)]
067176537X;[("'health'", 1)]
0061099686;[("'fiction'", 1), ("'southern'", 0.48), ("'chick-lit'", 0.48), ("'historical-fiction'", 0.19), ("'romance'", 0.19)]
0553582909;[("'horror'", 1), ("'suspense'", 0.52), ("'mystery'", 0.48), ("'fiction'", 0.19), ("'thriller'", 0.14)]
0671888587;[("'mystery'", 1), ("'fiction'", 0.5), ("'suspense'", 0.35), ("'mystery-thriller'", 0.25), ("'thriller'", 0.25)]
0553582747;[("'horror'", 1), ("'fiction'", 0.87), ("'thriller'", 0.58)]
0425182908;[("'mystery'", 1), ("'fiction'", 0.68), ("'crime'", 0.59), ("'thriller'", 0.29), ("'suspense'", 0.17)]
042518630X;[("'mystery'", 1), ("'romance'", 0.71), ("'crime'", 0.34), ("'romantic-suspense'", 0.31), ("'fiction'", 0.29)]
0440223571;[("'fiction'", 1), ("'short-stories'", 0.71), ("'christmas'", 0.63), ("'irish-literature'", 0.21), ("'chick-lit'", 0.21)]
0812523873;[("'science-fiction'", 1), ("'fiction'", 0.71), ("'speculative-fiction'", 0.29)]
0842342702;[("'christian'", 1), ("'christian-fiction'", 1), ("'fantasy'", 0.32), ("'religion'", 0.29)]
0440225701;[("'fiction'", 1), ("'mystery'", 0.61), ("'thriller'", 0.56), ("'legal-thriller'", 0.34)]
0060914068;[("'health'", 1), ("'non-fiction'", 0.65), ("'self-help'", 0.46), ("'spirituality'", 0.43), ("'psychology'", 0.43)]
0156047624;[("'fiction'", 1), ("'classics'", 0.9), ("'historical-fiction'", 0.4), ("'politics'", 0.28), ("'literature'", 0.17)]
0245542957;[]
0380715899;[("'fiction'", 1), ("'historical-fiction'", 1), ("'war'", 0.31), ("'italy'", 0.18), ("'world-war-i'", 0.16)]
0553280333;[("'psychology'", 1), ("'self-help'", 0.75), ("'non-fiction'", 0.75)]
0961769947;[]
0964778319;[]
0671623249;[("'fiction'", 1), ("'western'", 0.79), ("'historical-fiction'", 0.77), ("'classics'", 0.26), ("'historical'", 0.15)]
0679810307;[("'young-adult'", 1), ("'fiction'", 0.59), ("'historical-fiction'", 0.57), ("'pakistan'", 0.24), ("'realistic-fiction'", 0.2)]
0679865691;[("'young-adult'", 1), ("'fiction'", 0.64), ("'historical-fiction'", 0.49), ("'pakistan'", 0.25), ("'teen'", 0.18)]
2070423204;[]
0345260317;[("'science'", 1), ("'non-fiction'", 0.78), ("'evolution'", 0.21), ("'philosophy'", 0.15), ("'psychology'", 0.14)]
0394743741;[("'russia'", 1), ("'philosophy'", 0.55), ("'russian-literature'", 0.55), ("'fiction'", 0.55)]
042511774X;[("'fiction'", 1), ("'contemporary'", 0.25)]
