0195153448;[("'mythology'", 1), ("'non-fiction'", 0.5), ("'classics'", 0.47), ("'history'", 0.41), ("'reference'", 0.24)]
0002005018;[("'fiction'", 0.72), ("'canada'", 0.59), ("'historical-fiction'", 0.43), ("'historical'", 0.09), ("'canadian-literature'", 0.08)]
0060973129;[("'history'", 0.18), ("'military-history'", 0.07), ("'world-war-ii'", 0.06), ("'non-fiction'", 0.05), ("'war'", 0.04)]
0374157065;[("'non-fiction'", 0.5), ("'science'", 0.41), ("'history'", 0.33), ("'medical'", 0.14), ("'medicine'", 0.08)]
0393045218;[("'history'", 0.1), ("'non-fiction'", 0.05), ("'archaeology'", 0.05), ("'china'", 0.03), ("'anthropology'", 0.02)]
0399135782;[("'fiction'", 1), ("'historical-fiction'", 0.36), ("'china'", 0.24), ("'asia'", 0.1), ("'contemporary'", 0.08)]
0425176428;[("'non-fiction'", 0.07), ("'alternate-history'", 0.06)]
0671870432;[("'fiction'", 0.08), ("'mystery'", 0.05), ("'legal-thriller'", 0.03), ("'thriller'", 0.02), ("'mystery-thriller'", 0.02)]
0679425608;[("'history'", 0.36), ("'non-fiction'", 0.25), ("'pirates'", 0.12), ("'historical'", 0.03)]
074322678X;[("'short-stories'", 0.03), ("'fiction'", 0.01), ("'american'", 0.0), ("'literature'", 0.0)]
0771074670;[("'fiction'", 0.01), ("'canada'", 0.01), ("'canadian-literature'", 0.0)]
080652121X;[("'history'", 0.0), ("'holocaust'", 0.0), ("'non-fiction'", 0.0), ("'politics'", 0.0)]
0887841740;[("'short-stories'", 0.03), ("'fiction'", 0.02), ("'canada'", 0.0), ("'literature'", 0.0), ("'humor'", 0.0)]
1552041778;[]
1558746218;[("'non-fiction'", 0.01), ("'inspirational'", 0.01), ("'self-help'", 0.01), ("'short-stories'", 0.0)]
1567407781;[("'mystery'", 0.0), ("'fiction'", 0.0)]
1575663937;[("'non-fiction'", 0.0), ("'history'", 0.0)]
1881320189;[]
0440234743;[("'fiction'", 0.14), ("'mystery'", 0.06), ("'thriller'", 0.04), ("'legal-thriller'", 0.03)]
0452264464;[("'fiction'", 0.81), ("'classics'", 0.48), ("'historical-fiction'", 0.29), ("'literature'", 0.11), ("'african-american'", 0.1)]
0609804618;[("'humor'", 0.07), ("'fiction'", 0.01), ("'comedy'", 0.01)]
1841721522;[("'cookbooks'", 0.0), ("'food'", 0.0), ("'vegetarian'", 0.0), ("'vegan'", 0.0)]
1879384493;[]
0061076031;[("'fiction'", 0.0), ("'childrens'", 0.0)]
0439095026;[]
0689821166;[("'historical-fiction'", 0.0), ("'survival'", 0.0), ("'adventure'", 0.0)]
0971880107;[("'fiction'", 0.01), ("'novels'", 0.0), ("'adult-fiction'", 0.0), ("'fantasy'", 0.0), ("'outdoors'", 0.0)]
0345402871;[("'fiction'", 0.18), ("'thriller'", 0.1), ("'mystery'", 0.04), ("'science-fiction'", 0.03), ("'suspense'", 0.03)]
0345417623;[("'fiction'", 0.24), ("'science-fiction'", 0.24), ("'thriller'", 0.1), ("'time-travel'", 0.09), ("'historical-fiction'", 0.07)]
0684823802;[("'science-fiction'", 0.03), ("'christian-fiction'", 0.03), ("'fiction'", 0.02), ("'fantasy'", 0.01), ("'christianity'", 0.01)]
0375759778;[("'fiction'", 0.02), ("'travel'", 0.0), ("'hungary'", 0.0), ("'historical-fiction'", 0.0), ("'literature'", 0.0)]
0425163091;[("'fiction'", 0.0)]
3404921038;[("'canada'", 0.01), ("'fiction'", 0.01), ("'canadian-literature'", 0.0)]
3442353866;[]
3442410665;[("'german-literature'", 0.0), ("'fiction'", 0.0), ("'historical'", 0.0)]
3442446937;[("'mystery'", 0.01), ("'fiction'", 0.01), ("'thriller'", 0.0), ("'suspense'", 0.0), ("'crime'", 0.0)]
0375406328;[("'fiction'", 0.02), ("'religion'", 0.0), ("'spirituality'", 0.0), ("'contemporary'", 0.0), ("'literature'", 0.0)]
0446310786;[("'classics'", 1), ("'fiction'", 0.59), ("'historical-fiction'", 0.16), ("'school'", 0.11), ("'literature'", 0.09)]
0449005615;[("'non-fiction'", 0.06), ("'history'", 0.02), ("'biography'", 0.02), ("'sports'", 0.01), ("'animals'", 0.01)]
0060168013;[("'fiction'", 0.04), ("'contemporary'", 0.0), ("'novels'", 0.0), ("'adult-fiction'", 0.0), ("'literary-fiction'", 0.0)]
038078243X;[("'mystery'", 0.0), ("'cozy-mystery'", 0.0), ("'fiction'", 0.0)]
055321215X;[("'classics'", 0.73), ("'fiction'", 0.22), ("'romance'", 0.17), ("'historical-fiction'", 0.06), ("'literature'", 0.04)]
067176537X;[("'health'", 0.0)]
0061099686;[("'fiction'", 0.0), ("'southern'", 0.0), ("'chick-lit'", 0.0), ("'historical-fiction'", 0.0), ("'romance'", 0.0)]
0553582909;[("'horror'", 0.0), ("'suspense'", 0.0), ("'mystery'", 0.0), ("'fiction'", 0.0), ("'thriller'", 0.0)]
0671888587;[("'mystery'", 0.01), ("'fiction'", 0.0), ("'suspense'", 0.0), ("'mystery-thriller'", 0.0), ("'thriller'", 0.0)]
0553582747;[("'horror'", 0.01), ("'fiction'", 0.0), ("'thriller'", 0.0)]
0425182908;[("'mystery'", 0.0), ("'fiction'", 0.0), ("'crime'", 0.0), ("'thriller'", 0.0), ("'suspense'", 0.0)]
042518630X;[("'mystery'", 0.01), ("'romance'", 0.01), ("'crime'", 0.0), ("'romantic-suspense'", 0.0), ("'fiction'", 0.0)]
0440223571;[("'fiction'", 0.0), ("'short-stories'", 0.0), ("'christmas'", 0.0), ("'irish-literature'", 0.0), ("'chick-lit'", 0.0)]
0812523873;[("'science-fiction'", 0.0), ("'fiction'", 0.0), ("'speculative-fiction'", 0.0)]
0842342702;[("'christian'", 0.02), ("'christian-fiction'", 0.02), ("'fantasy'", 0.0), ("'religion'", 0.0)]
0440225701;[("'fiction'", 0.02), ("'mystery'", 0.01), ("'thriller'", 0.01), ("'legal-thriller'", 0.0)]
0060914068;[("'health'", 0.0), ("'non-fiction'", 0.0), ("'self-help'", 0.0), ("'spirituality'", 0.0), ("'psychology'", 0.0)]
0156047624;[("'fiction'", 0.02), ("'classics'", 0.01), ("'historical-fiction'", 0.01), ("'politics'", 0.0), ("'literature'", 0.0)]
0245542957;[]
0380715899;[("'fiction'", 0.0), ("'historical-fiction'", 0.0), ("'war'", 0.0), ("'italy'", 0.0), ("'world-war-i'", 0.0)]
0553280333;[("'psychology'", 0.0), ("'self-help'", 0.0), ("'non-fiction'", 0.0)]
0961769947;[]
0964778319;[]
0671623249;[("'fiction'", 0.03), ("'western'", 0.02), ("'historical-fiction'", 0.02), ("'classics'", 0.01), ("'historical'", 0.0)]
0679810307;[("'young-adult'", 0.0), ("'fiction'", 0.0), ("'historical-fiction'", 0.0), ("'pakistan'", 0.0), ("'realistic-fiction'", 0.0)]
0679865691;[("'young-adult'", 0.0), ("'fiction'", 0.0), ("'historical-fiction'", 0.0), ("'pakistan'", 0.0), ("'teen'", 0.0)]
2070423204;[]
0345260317;[("'science'", 0.02), ("'non-fiction'", 0.01), ("'evolution'", 0.0), ("'philosophy'", 0.0), ("'psychology'", 0.0)]
0394743741;[("'russia'", 0.0), ("'philosophy'", 0.0), ("'russian-literature'", 0.0), ("'fiction'", 0.0)]
042511774X;[("'fiction'", 0.01), ("'contemporary'", 0.0)]
0804106304;[("'classics'", 0.02), ("'china'", 0.01), ("'contemporary'", 0.01), ("'adult-fiction'", 0.01), ("'literature'", 0.01)]
1853262404;[("'classics'", 0.0), ("'fiction'", 0.0), ("'literature'", 0.0), ("'adventure'", 0.0), ("'short-stories'", 0.0)]
0312970242;[("'fiction'", 0.0)]
1853260053;[("'classics'", 0.12), ("'fiction'", 0.04), ("'literature'", 0.01), ("'romance'", 0.01), ("'historical-fiction'", 0.01)]
1414035004;[]
0060938412;[("'chick-lit'", 0.0), ("'romance'", 0.0), ("'fiction'", 0.0), ("'humor'", 0.0), ("'adult-fiction'", 0.0)]
0140067477;[("'philosophy'", 0.02), ("'non-fiction'", 0.01), ("'religion'", 0.01), ("'spirituality'", 0.01)]
0345465083;[("'non-fiction'", 0.03), ("'history'", 0.01), ("'biography'", 0.01), ("'sports'", 0.01), ("'animals'", 0.0)]
0451625889;[("'classics'", 0.05), ("'philosophy'", 0.05), ("'non-fiction'", 0.04), ("'politics'", 0.03), ("'history'", 0.02)]
1558531025;[("'non-fiction'", 0.0), ("'self-help'", 0.0)]
0441783589;[("'science-fiction'", 0.05), ("'fiction'", 0.02), ("'classics'", 0.0)]
0394895894;[("'mystery'", 0.01), ("'young-adult'", 0.01), ("'historical-fiction'", 0.01), ("'fiction'", 0.0), ("'historical'", 0.0)]
1569871213;[("'classics'", 0.05), ("'fiction'", 0.02), ("'childrens'", 0.01), ("'animals'", 0.01), ("'young-adult'", 0.01)]
0375410538;[("'fiction'", 0.01), ("'canada'", 0.0), ("'historical-fiction'", 0.0), ("'literature'", 0.0)]
0966986105;[]
087113375X;[("'humor'", 0.0), ("'non-fiction'", 0.0)]
0340767936;[("'fiction'", 0.0), ("'chick-lit'", 0.0), ("'humor'", 0.0), ("'romance'", 0.0), ("'contemporary'", 0.0)]
0743403843;[("'thriller'", 0.0), ("'fiction'", 0.0), ("'science-fiction'", 0.0), ("'adventure'", 0.0), ("'mystery'", 0.0)]
0060930365;[("'memoir'", 0.0), ("'biography'", 0.0)]
0060177586;[("'biography'", 0.0), ("'politics'", 0.0), ("'non-fiction'", 0.0), ("'memoir'", 0.0), ("'history'", 0.0)]
0071416331;[]
0375509038;[("'politics'", 0.0), ("'biography'", 0.0), ("'non-fiction'", 0.0), ("'history'", 0.0)]
